Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R10,R102,R103,R12,R14,R15,R16,R27,R52,R53,R54,R55,R56,R61,R62,R65,R66,R84,R85,R86,R87",R_0402_1005Metric-no-silkscreen-text,C17168,21
100kΩ,"R19,R25,R32,R39,R47,R67,R68,R69,R70,R83,R96",R_0402_1005Metric-no-silkscreen-text,C25741,11
100nF,"C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C115,C116,C117,C118,C119,C12,C122,C123,C124,C125,C126,C127,C128,C129,C13,C130,C14,C15,C16,C17,C18,C2,C20,C21,C25,C27,C32,C33,C38,C39,C42,C43,C44,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0402_1005Metric-no-silkscreen-text,C307331,101
100Ω,"R48,R49,R50,R51",R_0402_1005Metric-no-silkscreen-text,C25076,4
10kΩ,"R100,R101,R29,R33,R37,R93,R94,R97",R_0402_1005Metric-no-silkscreen-text,C25744,8
10kΩ,R31,R_0402_1005Metric-no-silkscreen-text,C2902636,1
10µF,"C121,C19,C31,C40,C77",C_1206_3216Metric,C89632,5
10µH,"L2,L3",L_APV_APH0630,C5349698,2
13.3kΩ,"R20,R26",R_0402_1005Metric-no-silkscreen-text,C2974007,2
15p,"C3,C4",C_0402_1005Metric-no-silkscreen-text,C1548,2
1MΩ,"R35,R46",R_0402_1005Metric-no-silkscreen-text,C26083,2
1kΩ,"R2,R23,R36,R4,R5,R6,R98,R99",R_0402_1005Metric-no-silkscreen-text,C11702,8
1nF,C45,C_0402_1005Metric-no-silkscreen-text,C53547,1
1µF,"C114,C120,C24,C41,C76",C_0402_1005Metric-no-silkscreen-text,C52923,5
2.2kΩ,"R79,R80,R81,R82",R_0402_1005Metric-no-silkscreen-text,C25879,4
20kΩ,R21,R_0402_1005Metric-no-silkscreen-text,C25765,1
