Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AM0,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,47.327316,-80.962444,270.0,top
AM1,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,85.427284,-80.962444,270.0,top
C10,4.7µF,C_0402_1005Metric-no-silkscreen-text,65.0875,-68.3924,-90.0,top
C100,100nF,C_0402_1005Metric-no-silkscreen-text,77.182492,-56.172492,-90.0,top
C101,100nF,C_0402_1005Metric-no-silkscreen-text,91.231576,-56.256964,-90.0,top
C102,100nF,C_0402_1005Metric-no-silkscreen-text,110.28156,-56.256964,-90.0,top
C103,100nF,C_0402_1005Metric-no-silkscreen-text,34.081624,-37.206932,-90.0,top
C104,100nF,C_0402_1005Metric-no-silkscreen-text,58.1275,-37.117516,-90.0,top
C105,100nF,C_0402_1005Metric-no-silkscreen-text,72.181592,-37.206932,-90.0,top
C106,100nF,C_0402_1005Metric-no-silkscreen-text,91.231576,-37.206932,-90.0,top
C107,100nF,C_0402_1005Metric-no-silkscreen-text,110.28156,-37.206932,-90.0,top
C108,100nF,C_0402_1005Metric-no-silkscreen-text,51.3375,-76.137516,180.0,top
C109,100nF,C_0402_1005Metric-no-silkscreen-text,88.0375,-76.037516,180.0,top
C11,100nF,C_0402_1005Metric-no-silkscreen-text,71.776008,-60.729008,0.0,top
C110,100nF,C_0402_1005Metric_small_pads,66.782492,-52.052492,0.0,top
C111,100nF,C_0402_1005Metric-no-silkscreen-text,71.7875,-59.737516,0.0,top
C112,100nF,C_0402_1005Metric-no-silkscreen-text,71.3375,-54.8375,0.0,top
C113,100nF,C_0402_1005Metric-no-silkscreen-text,59.072492,-67.852492,180.0,top
C114,1µF,C_0402_1005Metric-no-silkscreen-text,97.996052,-72.437516,-90.0,top
C115,100nF,C_0402_1005Metric-no-silkscreen-text,37.9375,-79.537516,180.0,top
C116,100nF,C_0402_1005Metric-no-silkscreen-text,101.4625,-37.4375,0.0,top
C117,100nF,C_0402_1005Metric-no-silkscreen-text,97.2375,-86.457516,-90.0,top
C118,100nF,C_0402_1005Metric-no-silkscreen-text,67.7375,-123.637516,90.0,top
C119,100nF,C_0402_1005Metric-no-silkscreen-text,38.5375,-101.837516,90.0,top
C12,100nF,C_0402_1005Metric-no-silkscreen-text,62.781,-51.2924,90.0,top
C120,1µF,C_0402_1005Metric-no-silkscreen-text,109.547499,-45.837516,-90.0,top
C121,10µF,C_1206_3216Metric,112.347499,-47.037516,0.0,top
C122,100nF,C_0402_1005Metric-no-silkscreen-text,75.8375,-67.297516,-90.0,top
C123,100nF,C_0402_1005Metric-no-silkscreen-text,74.6375,-67.297516,-90.0,top
C124,100nF,C_0402_1005Metric-no-silkscreen-text,74.3375,-43.537516,90.0,top
C125,100nF,C_0402_1005Metric-no-silkscreen-text,75.5375,-41.437516,90.0,top
C126,100nF,C_0402_1005Metric-no-silkscreen-text,67.716752,-68.34558,90.0,top
C127,100nF,C_0402_1005Metric-no-silkscreen-text,36.0375,-121.037516,90.0,top
C128,100nF,C_0402_1005Metric-no-silkscreen-text,41.5975,-120.427516,90.0,top
C129,100nF,C_0402_1005Metric-no-silkscreen-text,50.8875,-35.337516,0.0,top
C13,100nF,C_0402_1005Metric-no-silkscreen-text,62.7875,-68.7375,-90.0,top
C130,100nF,C_0402_1005Metric-no-silkscreen-text,54.1375,-38.137516,90.0,top
C131,4.7µF,C_0402_1005Metric-no-silkscreen-text,93.7875,-43.9875,-90.0,top
C14,100nF,C_0402_1005Metric-no-silkscreen-text,56.9375,-50.937516,180.0,top
C15,100nF,C_0402_1005Metric-no-silkscreen-text,55.810512,-57.837516,180.0,top
C16,100nF,C_0402_1005Metric-no-silkscreen-text,71.7875,-61.687516,0.0,top
C17,100nF,C_0402_1005Metric-no-silkscreen-text,55.6617,-63.1375,180.0,top
C18,100nF,C_0402_1005Metric-no-silkscreen-text,70.246828,-65.037848,-90.0,top
